"filename", "language", "JSON", "JSON with Comments", "Markdown", "JavaScript", "TypeScript", "HTML", "TypeScript JSX", "PostCSS", "Python", "comment", "blank", "total"
"c:\Users\zst08\OneDrive\デスクトップ\0505-1446\project\.bolt\config.json", "JSON", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\zst08\OneDrive\デスクトップ\0505-1446\project\README.md", "Markdown", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\zst08\OneDrive\デスクトップ\0505-1446\project\eslint.config.js", "JavaScript", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 2, 29
"c:\Users\zst08\OneDrive\デスクトップ\0505-1446\project\index.html", "HTML", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 1, 15
"c:\Users\zst08\OneDrive\デスクトップ\0505-1446\project\package-lock.json", "JSON", 8186, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8187
"c:\Users\zst08\OneDrive\デスクトップ\0505-1446\project\package.json", "JSON", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 34
"c:\Users\zst08\OneDrive\デスクトップ\0505-1446\project\postcss.config.js", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\zst08\OneDrive\デスクトップ\0505-1446\project\public\icon\aa.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 4, 19
"c:\Users\zst08\OneDrive\デスクトップ\0505-1446\project\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 1116, 0, 0, 0, 125, 1241
"c:\Users\zst08\OneDrive\デスクトップ\0505-1446\project\src\calculation\HitCountSelect.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 51, 0, 0, 1, 5, 57
"c:\Users\zst08\OneDrive\デスクトップ\0505-1446\project\src\calculation\TeraBlastOptions.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 90, 0, 0, 0, 7, 97
"c:\Users\zst08\OneDrive\デスクトップ\0505-1446\project\src\calculation\finalAttackCalculator.ts", "TypeScript", 0, 0, 0, 0, 148, 0, 0, 0, 0, 19, 12, 179
